,imdb_score,director_name,movie_title
2725,9.5,John Blanchard,Towering Inferno
1920,9.3,Frank Darabont,The Shawshank Redemption
3402,9.2,Francis Ford Coppola,The Godfather
2779,9.1,,Dekalog
4312,9.1,John Stockwell,Kickboxer: Vengeance
3415,9.0,,Fargo
2791,9.0,Francis Ford Coppola,The Godfather: Part II
66,9.0,Christopher Nolan,The Dark Knight
1857,8.9,Steven Spielberg,Schindler's List
335,8.9,Peter Jackson,The Lord of the Rings: The Return of the King
3295,8.9,Quentin Tarantino,Pulp Fiction
4706,8.9,Sidney Lumet,12 Angry Men
4397,8.9,Sergio Leone,"The Good, the Bad and the Ugly"
267,8.8,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
1825,8.8,,It's Always Sunny in Philadelphia
453,8.8,,Daredevil
827,8.8,Robert Zemeckis,Forrest Gump
675,8.8,David Fincher,Fight Club
97,8.8,Christopher Nolan,Inception
2031,8.8,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
2973,8.7,George Lucas,Star Wars: Episode IV - A New Hope
4804,8.7,Cary Bell,Butterfly Girl
1801,8.7,,The Honeymooners
4277,8.7,Mitchell Altieri,A Beginner's Guide to Snuff
647,8.7,Lana Wachowski,The Matrix
1604,8.7,,Friday Night Lights
4369,8.7,Sadyk Sher-Niyaz,Queen of the Mountains
1886,8.7,Martin Scorsese,Goodfellas
3512,8.7,,Gomorrah
3795,8.7,Milos Forman,One Flew Over the Cuckoo's Nest
3947,8.7,Fernando Meirelles,City of God
336,8.7,Peter Jackson,The Lord of the Rings: The Two Towers
4635,8.7,Akira Kurosawa,Seven Samurai
4330,8.6,Charles Chaplin,Modern Times
2904,8.6,,Spartacus: War of the Damned
3967,8.6,Frank Capra,It's a Wonderful Life
1485,8.6,,Luther
3745,8.6,Mike Mayhall,Running Forever
3695,8.6,Sergio Leone,Once Upon a Time in the West
96,8.6,Christopher Nolan,Interstellar
641,8.6,Steven Spielberg,Saving Private Ryan
3119,8.6,Tony Kaye,American History X
398,8.6,,Hannibal
2344,8.6,Hayao Miyazaki,Spirited Away
4425,8.6,Michael Curtiz,Casablanca
1584,8.6,David Fincher,Se7en
3524,8.6,Bryan Singer,The Usual Suspects
2134,8.6,Jonathan Demme,The Silence of the Lambs
1026,8.5,,Outlander
3853,8.5,Ron Fricke,Samsara
3798,8.5,Raja Menon,Airlift
3946,8.5,Damien Chazelle,Whiplash
4752,8.5,,Happy Valley
357,8.5,Martin Scorsese,The Departed
4264,8.5,Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
293,8.5,Quentin Tarantino,Django Unchained
285,8.5,James Cameron,Terminator 2: Judgment Day
280,8.5,Ridley Scott,Gladiator
1222,8.5,Christopher Nolan,The Prestige
3646,8.5,Christopher Nolan,Memento
4801,8.5,Majid Majidi,Children of Heaven
3220,8.5,Ridley Scott,Alien
1648,8.5,,Entourage
1435,8.5,Roman Polanski,The Pianist
1556,8.5,Francis Ford Coppola,Apocalypse Now
704,8.5,Frank Darabont,The Green Mile
4168,8.5,Florian Henckel von Donnersmarck,The Lives of Others
3,8.5,Christopher Nolan,The Dark Knight Rises
503,8.5,Roger Allers,The Lion King
2128,8.5,Steven Spielberg,Raiders of the Lost Ark
2334,8.5,Robert Zemeckis,Back to the Future
2215,8.5,Alfred Hitchcock,Psycho
1287,8.4,Jean-Pierre Jeunet,Amélie
